# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	U_converged   	k_solver      	k_initial     	k_final       	k_iters       	k_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   	gammaInt_solver	gammaInt_initial	gammaInt_final	gammaInt_iters	gammaInt_converged	omega_solver  	omega_initial 	omega_final   	omega_iters   	omega_converged	ReThetat_solver	ReThetat_initial	ReThetat_final	ReThetat_iters	ReThetat_converged
15            	DILUPBiCGStab	2.295970e-04	2.860960e-07	2	7.428980e-04	1.098890e-06	2	false	DILUPBiCGStab	3.619100e-04	2.020740e-06	1	true	GAMG	2.717880e-02	2.436390e-04	2	true	DILUPBiCGStab	1.453800e-04	1.849630e-07	2	true	DILUPBiCGStab	1.524570e-05	5.206130e-08	1	true	DILUPBiCGStab	1.531810e-02	7.526350e-07	1	true
16            	DILUPBiCGStab	2.254440e-04	2.759860e-07	2	7.164480e-04	1.038320e-06	2	false	DILUPBiCGStab	3.129710e-04	1.730430e-06	1	true	GAMG	2.394430e-02	1.469310e-04	3	true	DILUPBiCGStab	1.425260e-04	1.897070e-07	2	true	DILUPBiCGStab	1.338830e-05	4.790110e-08	1	true	DILUPBiCGStab	1.361580e-02	7.043510e-07	1	true
17            	DILUPBiCGStab	2.235870e-04	2.719450e-07	2	6.989830e-04	9.906910e-07	2	false	DILUPBiCGStab	2.760350e-04	1.471970e-06	1	true	GAMG	2.148940e-02	1.641290e-04	3	true	DILUPBiCGStab	1.403580e-04	1.938250e-07	2	true	DILUPBiCGStab	1.194500e-05	4.454650e-08	1	true	DILUPBiCGStab	1.218390e-02	6.629820e-07	1	true
18            	DILUPBiCGStab	2.236710e-04	2.726450e-07	2	6.849390e-04	9.524970e-07	2	false	DILUPBiCGStab	2.483640e-04	1.253270e-06	1	true	GAMG	1.696050e-02	1.665200e-04	3	true	DILUPBiCGStab	1.384370e-04	1.972390e-07	2	true	DILUPBiCGStab	1.072930e-05	4.200470e-08	1	true	DILUPBiCGStab	1.096700e-02	6.272090e-07	1	true
19            	DILUPBiCGStab	2.245930e-04	2.760450e-07	2	6.722160e-04	9.216680e-07	2	false	DILUPBiCGStab	2.273760e-04	1.085130e-06	1	true	GAMG	1.237870e-02	1.187410e-04	4	true	DILUPBiCGStab	1.366550e-04	1.998560e-07	2	true	DILUPBiCGStab	9.751180e-06	3.987330e-08	1	true	DILUPBiCGStab	9.923540e-03	5.960140e-07	1	true
20            	DILUPBiCGStab	2.257040e-04	2.804340e-07	2	6.613950e-04	8.974860e-07	2	false	DILUPBiCGStab	2.114080e-04	9.612490e-07	1	true	GAMG	9.076090e-03	4.859860e-05	5	true	DILUPBiCGStab	1.348660e-04	2.014460e-07	2	true	DILUPBiCGStab	8.999020e-06	3.797670e-08	1	true	DILUPBiCGStab	9.021790e-03	5.686290e-07	1	true
21            	DILUPBiCGStab	2.269470e-04	2.839560e-07	2	6.526890e-04	8.772250e-07	2	false	DILUPBiCGStab	1.990520e-04	8.719150e-07	1	true	GAMG	6.883460e-03	4.342420e-05	5	true	DILUPBiCGStab	1.331210e-04	2.020940e-07	2	true	DILUPBiCGStab	8.451730e-06	3.633850e-08	1	true	DILUPBiCGStab	8.237120e-03	5.444970e-07	1	true
22            	DILUPBiCGStab	2.283360e-04	2.859210e-07	2	6.457200e-04	8.588240e-07	2	false	DILUPBiCGStab	1.891650e-04	8.083570e-07	1	true	GAMG	5.368870e-03	3.988310e-05	5	true	DILUPBiCGStab	1.314490e-04	2.021710e-07	2	true	DILUPBiCGStab	8.073920e-06	3.479090e-08	1	true	DILUPBiCGStab	7.550050e-03	5.231290e-07	1	true
23            	DILUPBiCGStab	2.299930e-04	2.868650e-07	2	6.402920e-04	8.410230e-07	2	false	DILUPBiCGStab	1.806920e-04	7.650190e-07	1	true	GAMG	4.261280e-03	3.721080e-05	5	true	DILUPBiCGStab	1.298250e-04	2.019110e-07	2	true	DILUPBiCGStab	7.776900e-06	3.337070e-08	1	true	DILUPBiCGStab	6.944960e-03	5.040210e-07	1	true
24            	DILUPBiCGStab	2.318500e-04	2.873220e-07	2	6.362580e-04	8.232340e-07	2	false	DILUPBiCGStab	1.728110e-04	7.314720e-07	1	true	GAMG	3.440560e-03	2.028210e-05	6	true	DILUPBiCGStab	1.282490e-04	2.017780e-07	2	true	DILUPBiCGStab	7.505200e-06	3.180140e-08	1	true	DILUPBiCGStab	6.409100e-03	4.868350e-07	1	true
